3|Khái niệm “Khổ giới hạn của đường bộ” được hiểu như thế nào là đúng?|Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng, chiều cao của đường bộ để các xe, bao gồm cả hàng hoá xếp trên xe đi qua được an toàn.|Là khoảng trống có kích thước giới hạn về chiều rộng của đường, cầu, bến phà, hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.|Là khoảng trống có kích thước giới hạn về chiều cao của cầu, bến phà, hầm trên đường bộ để các xe đi qua được an toàn.|||1|1|0|3|3|1|1|1|1||Khổ giới hạn đường bộ có giới hạn về chiều cao, chiều rộng.
5|Dải phân cách có tác dụng gì?|Được lắp đặt để phân chia các làn đường dành cho xe cơ giới và xe thô sơ trên đường cao tốc.|Được lắp đặt để phân chia phần đường xe chạy thành hai chiều riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều đường||||2|1|4|5|5|1|1|1|1||<b>Dải phân cách</b> được lắp đặt để phân chia phần đường xe chạy thành hai chiều riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều đường;
8|Khái niệm “phương tiện giao thông cơ giới đường bộ” được hiểu thế nào là đúng?|Gồm xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.|Gồm xe ô tô; rơ moóc, sơ mi rơ moóc, xe chở người bốn bánh có gắn động cơ; xe chở hàng bốn bánh có gắn động cơ, xe mô tô, xe gắn máy và xe tương tự.||||2|1|7|8|8|1|1|1|1||“Phương tiện giao thông cơ giới đường bộ” không bao gồm “xe máy chuyên dùng”.
15|Khái niệm “đỗ xe” được hiểu như thế nào là đúng?|Là trạng thái đứng yên của xe không giới hạn thời gian|Là trạng thái đứng yên của phương tiện giao thông có giới hạn thời gian.||||1|1|14|15|15|1|1|1|1||<b>ĐỖ XE</b> là trạng thái đứng yên của xe KHÔNG GIỚI HẠN THỜI GIAN.
16|Khái niệm “đường cao tốc” được hiểu như thế nào là đúng?|Chỉ dành cho một số loại xe cơ giới, xe máy chuyên dùng tham gia giao thông theo quy định của pháp luật|Có dải phân cách phân chia hai chiều xe chạy riêng biệt, không giao nhau cùng mức với một hoặc các đường khác, chỉ cho xe ra, vào ở những điểm nhất định,.|Có hàng rào bảo vệ, trang thiết bị phục vụ, bảo đảm giao thông liên tục, an toàn, rút ngắn thời gian hành trình..|Tất cả các ý trên.||8|1|0|16|16|1|1|1|1||Đường cao tốc gồm tất cả các ý.
29|Phương tiện tham gia giao thông đường bộ di chuyển với tốc độ thấp hơn phải di chuyển như thế nào?|Đi về phía bên phải theo chiều đi của mình.|Đi về phía bên trái theo chiều đi của mình.|Đi ở bất cứ làn nào nhưng phải bấm đèn cảnh báo nguy hiểm để báo hiệu cho các phương tiện khác.|||1|1|0|29|29|1|1|1|1|1|Tốc độ thấp hơn đi về bên phải theo chiều đi của mình.
54|Người đủ bao nhiêu tuổi trở lên thì được điều khiển các loại xe ô tô quy định cho giấy phép lái xe hạng B kéo rơ moóc có khối lượng toàn bộ theo thiết kế trên 750 kg?|19 tuổi.|20 tuổi.|21 tuổi.|||4|1|0|0|54|1|1|1|1||Hạng BE = 21 tuổi; Độ tuổi lấy bằng theo hạng (cách nhau 3 tuổi): Xe dưới 50cm3: 16; Hạng A1, A, B1, B, C1: 18; Hạng C, BE: 21; Hạng D1, D2, C1E, CE: 24; Hạng D, D1E, D2E, DE: 27.
55|Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe mô tô hai bánh có dung tích xi-lanh đến 125 cm3 hoặc có công suất động cơ điện đến 11 kW?|16 tuổi.|18 tuổi.|21 tuổi.|||2|1|35|0|55|1|1|1|1||Hạng A1 = 18 tuổi; Độ tuổi lấy bằng theo hạng (cách nhau 3 tuổi): Xe dưới 50cm3: 16; Hạng A1, A, B1, B, C1: 18; Hạng C, BE: 21; Hạng D1, D2, C1E, CE: 24; Hạng D, D1E, D2E, DE: 27.
56|Người lái xe ô tô chở người (kể cả xe buýt) trên 29 chỗ (không kể chỗ của người lái xe) phải đủ bao nhiêu tuổi trở lên?|23 tuổi.|24 tuổi.|27 tuổi.|30 tuổi.||4|1|0|0|56|1|1|1|1||Hạng D = 27 tuổi; Độ tuổi lấy bằng theo hạng (cách nhau 3 tuổi): Xe dưới 50cm3: 16; Hạng A1, A, B1, B, C1: 18; Hạng C, BE: 21; Hạng D1, D2, C1E, CE: 24; Hạng D, D1E, D2E, DE: 27.
57|Tuổi tối đa của người lái xe ô tô chở người (kể cả xe buýt) trên 29 chỗ (không kể chỗ của người lái xe), xe ô tô chở người giường nằm là bao nhiêu tuổi?|57 tuổi đối với nam và 55 tuổi đối với nữ.|55 tuổi đối với nam và nữ.|60 tuổi đối với nam và 55 tuổi đối với nữ.|45 tuổi với nam và 40 tuổi với nữ.||1|1|0|0|57|1|1|1|1||Tuổi tối đa người lái xe ô tô trên 29 chỗ và xe giường nằm: Nam 57 tuổi và nữ 55 tuổi.
